Year,Month,TAS,TSMAX,TSMIN
1987,2,4.62,7.78,1.61
1987,3,3.96,7.87,-0.14
1987,4,10.7,15.07,6.23
1987,5,13,17.27,8.49
1987,6,18,22.38,13.25
1987,7,22.25,26.87,17.54
1987,8,21.68,26.34,17.06
1987,9,20.51,25.4,16.03
1987,10,14.81,18.28,11.53
1987,11,8.99,12.26,5.95
1987,12,5.93,9.05,3.13
1988,1,6.02,8.96,3.19
1988,2,4.94,8.82,1.16
1988,3,6.95,10.89,2.91
1988,4,10.93,14.74,7.08
1988,5,15.6,19.55,11.76
1988,6,18.17,22.36,13.79
1988,7,22.98,27.77,17.93
1988,8,22.17,27.07,17.28
1988,9,17.64,22.22,13.22
1988,10,15.06,18.95,11.58
1988,11,6.41,10.27,2.89
1988,12,4.24,7.95,0.96
1989,1,3.51,7.93,-0.05
1989,2,6.02,10.39,2.27
1989,3,9.54,14.12,5.08
1989,4,10.65,14.3,6.95
1989,5,14.74,19.2,10.2
1989,6,17.64,22.02,13.13
1989,7,21.3,25.66,16.95
1989,8,21.31,26.01,16.71
1989,9,17.39,21.48,13.64
1989,10,12.24,16.91,8.11
1989,11,7.44,11.13,4.03
1989,12,5.61,9.03,2.53
1990,1,3.84,7.97,0.47
1990,2,7.58,12.03,3.57
1990,3,9.11,13.8,4.7
1990,4,9.99,13.71,6.25
1990,5,15.62,19.97,11.21
1990,6,18.76,23.1,14.14
1990,7,21.55,26.24,16.67
1990,8,21.13,25.91,16.49
1990,9,17.9,22.42,13.62
1990,10,15.13,18.56,11.95
1990,11,8.39,11.88,5.14
1990,12,2.74,5.79,-0.11
1991,1,3.71,7.19,0.7
1991,2,3.1,6.78,-0.44
1991,3,9.52,13.15,6.08
1991,4,8.99,13.02,4.9
1991,5,11.9,15.82,7.73
1991,6,18.22,22.51,13.66
1991,7,22.09,26.72,17.28
1991,8,22.12,26.87,17.48
1991,9,19.17,23.53,15.07
1991,10,12.64,16.2,9.29
1991,11,7.84,11.16,4.53
1991,12,2.33,6.19,-0.89
1992,1,3.35,6.95,0.37
1992,2,4.64,8.9,0.78
1992,3,7.59,11.72,3.6
1992,4,10.6,14.47,6.68
1992,5,15.66,19.97,11.31
1992,6,17.53,21.44,13.6
1992,7,20.84,25.17,16.31
1992,8,23.09,27.9,18.27
1992,9,18.3,22.94,13.75
1992,10,13.46,16.62,10.3
1992,11,10.04,13.59,6.73
1992,12,5.23,8.04,2.51
1993,1,4.11,7.87,0.8
1993,2,3.56,8.13,-0.46
1993,3,6.14,10.59,1.78
1993,4,10.85,14.84,6.8
1993,5,16.05,20.38,11.58
1993,6,19.76,24.09,15.13
1993,7,20.83,25.5,15.78
1993,8,22.7,27.68,17.72
1993,9,17.68,21.79,13.65
1993,10,13.99,17.37,10.73
1993,11,7.77,10.61,5.05
1993,12,6.1,9.42,2.98
1994,1,5.43,8.75,2.36
1994,2,4.62,8.08,1.29
1994,3,10.04,14.88,5.48
1994,4,10.04,13.77,6.17
1994,5,15.84,20.06,11.4
1994,6,19.07,23.44,14.46
1994,7,23.03,27.62,18.39
1994,8,23.72,28.62,18.84
1994,9,18.84,23.01,14.86
1994,10,13.54,17.58,9.82
1994,11,10.49,14.02,7.43
1994,12,6.1,9.44,3.11
1995,1,3.36,6.86,-0.05
1995,2,6.89,10.88,3.16
1995,3,6.51,10.52,2.41
1995,4,10.34,14.5,6.06
1995,5,14.76,18.87,10.47
1995,6,17.84,22,13.31
1995,7,23,27.42,18.44
1995,8,20.63,24.84,16.61
1995,9,16.48,20.48,12.53
1995,10,14.34,19.15,10.08
1995,11,8,11.48,4.62
1995,12,6.27,8.82,3.86
1996,1,5.42,8.06,2.92
1996,2,3.51,6.87,0.16
1996,3,6.21,9.59,2.79
1996,4,10.97,14.9,6.92
1996,5,15.38,19.31,11.18
1996,6,19.62,23.91,14.95
1996,7,20.91,25.19,16.32
1996,8,21.11,25.42,16.84
1996,9,15.61,19.5,11.85
1996,10,12.81,16.26,9.55
1996,11,9.42,12.74,6.25
1996,12,5.19,8.15,2.39
1997,1,5.31,8.63,2.48
1997,2,6.28,10.47,2.44
1997,3,8.95,13.73,4.31
1997,4,9.35,13.83,4.53
1997,5,16.06,20.62,11.17
1997,6,19.78,23.8,15.45
1997,7,21.18,25.71,16.33
1997,8,21.46,25.85,17.11
1997,9,19.08,23.86,14.57
1997,10,13.76,17.72,10.12
1997,11,9.26,12.23,6.44
1997,12,5.73,8.72,2.9
1998,1,4.91,8.33,1.85
1998,2,6.85,11.76,2.65
1998,3,7.26,11.63,2.83
1998,4,11.16,14.89,7.28
1998,5,15.53,19.65,11.14
1998,6,20.39,24.9,15.5
1998,7,22.97,27.6,17.91
1998,8,22.99,27.75,18.34
1998,9,17.82,21.95,13.82
1998,10,13.72,17.57,10.07
1998,11,7.25,10.6,4.05
1998,12,3.8,7.36,0.61
1999,1,4.29,8.28,0.89
1999,2,3.6,7.75,-0.47
1999,3,8.01,12.08,4.11
1999,4,11.21,15.18,7.18
1999,5,16.94,21,12.82
1999,6,19.85,24.19,15.19
1999,7,21.86,26.16,17.35
1999,8,22.66,27.06,18.33
1999,9,19.32,23.52,15.35
1999,10,14.65,18.64,10.98
1999,11,7.97,11.47,4.81
1999,12,4.85,8.2,1.55
2000,1,2.74,6.85,-0.82
2000,2,5.68,9.9,1.73
2000,3,8.46,12.69,4.24
2000,4,12.14,15.89,8.32
2000,5,17.27,21.44,13.06
2000,6,20.41,24.89,15.73
2000,7,21,25.52,16.22
2000,8,22.65,27.59,17.86
2000,9,18.47,23.02,14.19
2000,10,14.25,17.68,11.17
2000,11,9.79,12.94,6.72
2000,12,6.87,9.9,4.01
2001,1,5.64,8.32,2.95
2001,2,5.77,9.63,2.07
2001,3,10.48,13.96,7.1
2001,4,10.17,14.18,5.92
2001,5,16.73,20.89,12.59
2001,6,19.37,23.85,14.43
2001,7,22.22,26.68,17.59
2001,8,23.04,27.8,18.41
2001,9,16.5,20.74,12.27
2001,10,16.16,20.53,12.4
2001,11,8.36,11.92,5.03
2001,12,2.75,6.43,-0.66
2002,1,2.87,7.29,-0.8
2002,2,6.93,10.61,3.49
2002,3,9.43,13.74,5.17
2002,4,11.01,14.88,7.15
2002,5,15.57,19.51,11.53
2002,6,20.99,25.34,16.44
2002,7,21.72,25.88,17.59
2002,8,20.85,25.02,17.01
2002,9,16.78,20.78,13.21
2002,10,13.86,17.86,10.12
2002,11,11.02,13.94,8.16
2002,12,6.54,8.97,4.16
2003,1,4.48,7.64,1.45
2003,2,1.97,6.03,-1.88
2003,3,7.82,12.48,3.37
2003,4,10.38,14.48,6.06
2003,5,17.5,22.18,12.72
2003,6,23.16,27.94,18.29
2003,7,23.88,28.53,19.03
2003,8,25.04,30.1,20.19
2003,9,17.86,22.4,13.63
2003,10,12.93,16.41,9.42
2003,11,9.95,13.09,7.1
2003,12,5.28,8.53,2.18
2004,1,3.52,6.54,0.38
2004,2,5.12,8.75,1.68
2004,3,6.88,10.51,3.3
2004,4,10.92,14.51,7.35
2004,5,13.71,17.8,9.41
2004,6,19.49,23.72,14.95
2004,7,22.04,26.63,17.1
2004,8,22.19,26.85,17.59
2004,9,18.51,23.06,14.21
2004,10,15.72,19.34,12.51
2004,11,9.07,12.61,5.89
2004,12,6.4,9.5,3.7
2005,1,2.98,6.91,-0.23
2005,2,2.32,6.05,-1.16
2005,3,7.14,11.61,2.9
2005,4,10.61,14.56,6.55
2005,5,16.59,20.98,12
2005,6,20.31,24.61,15.76
2005,7,22.44,26.98,17.69
2005,8,20.48,24.72,16.27
2005,9,18.3,22.28,14.71
2005,10,13.75,17.32,10.71
2005,11,8.39,11.59,5.56
2005,12,3.7,6.89,0.66
2006,1,2.66,6.06,-0.18
2006,2,4.38,7.93,1.22
2006,3,6.84,10.42,3.31
2006,4,11.78,15.87,7.68
2006,5,16,20.33,11.37
2006,6,19.8,24.45,14.87
2006,7,23.51,28.18,18.84
2006,8,20.44,24.74,16.29
2006,9,18.99,23.36,14.96
2006,10,15.27,19.47,11.6
2006,11,9.7,13.87,6.21
2006,12,6.49,10.04,3.67
2007,1,6.63,10.31,3.48
2007,2,7.21,10.88,3.9
2007,3,8.69,12.55,5.07
2007,4,13.42,18.16,8.77
2007,5,16.53,20.83,12.1
2007,6,20.27,24.46,15.88
2007,7,22.79,27.77,17.31
2007,8,21.84,26.44,17.32
2007,9,17.29,21.93,12.82
2007,10,13.32,17.33,9.83
2007,11,7.88,11.48,4.76
2007,12,4.46,7.92,1.61
2008,1,5.79,9.13,2.96
2008,2,5.72,10.03,2.14
2008,3,8.22,11.99,4.59
2008,4,11.2,15.01,7.34
2008,5,16.04,20.04,11.84
2008,6,20.01,24.09,15.76
2008,7,22.4,26.89,17.61
2008,8,22.72,27.6,17.75
2008,9,17.57,21.82,13.65
2008,10,14.73,18.92,11.08
2008,11,9.26,12.63,6.26
2008,12,5.04,7.97,2.51
2009,1,4.02,6.9,1.42
2009,2,4.19,7.9,0.79
2009,3,7.92,11.8,4.11
2009,4,11.92,15.61,8.42
2009,5,17.55,22.25,12.62
2009,6,19.65,23.84,15.19
2009,7,22.67,27.17,17.82
2009,8,23.47,28.21,18.87
2009,9,19.06,23.34,15.25
2009,10,13.24,17.34,9.63
2009,11,9.76,13.24,6.74
2009,12,5.36,8.36,2.5
2010,1,3.29,6.04,0.7
2010,2,5,8.12,1.96
2010,3,7.43,11.11,3.9
2010,4,11.52,15.62,7.36
2010,5,14.92,18.61,11.09
2010,6,19.48,23.48,15.17
2010,7,23.27,27.72,18.59
2010,8,21.76,26.19,17.3
2010,9,17.52,21.78,13.5
2010,10,12.76,16.39,9.55
2010,11,9.43,12.38,6.7
2010,12,4.16,7.2,1.19
2011,1,4.24,7.43,1.59
2011,2,5.38,9.47,1.99
2011,3,7.83,11.54,4.28
2011,4,12.82,17.32,8.38
2011,5,16.25,20.76,11.42
2011,6,19.74,23.71,15.56
2011,7,21.28,25.44,16.88
2011,8,23.03,27.87,18.07
2011,9,20.56,25.28,16.24
2011,10,13.62,18.02,9.72
2011,11,9.33,13.24,6.35
2011,12,6.3,9.79,3.22
2012,1,3.94,7.94,0.62
2012,2,1.93,5.74,-1.58
2012,3,9.97,14.86,5.51
2012,4,11.3,14.92,7.62
2012,5,15.35,19.68,10.79
2012,6,21.54,26.05,16.61
2012,7,23.53,28.2,18.64
2012,8,24.12,29.08,19.17
2012,9,18.85,23,14.94
2012,10,14.8,18.81,11.26
2012,11,10.72,13.9,7.88
2012,12,4.55,7.87,1.56
2013,1,4.78,7.99,1.93
2013,2,3.53,7.05,0.16
2013,3,7.49,10.74,4.32
2013,4,12.34,16.22,8.52
2013,5,14.6,18.38,10.69
2013,6,19,23.27,14.38
2013,7,22.56,27.14,17.79
2013,8,22.63,27.35,17.96
2013,9,18.8,23.26,14.56
2013,10,15.4,18.94,12.29
2013,11,9.53,12.61,6.69
2013,12,5.88,9.92,2.65
2014,1,6.38,9.33,3.66
2014,2,7.6,10.75,4.56
2014,3,8.82,13.06,4.89
2014,4,12.09,16.11,8.05
2014,5,14.85,18.99,10.39
2014,6,19.97,24.37,15.24
2014,7,20.91,24.92,16.69
2014,8,21.36,25.65,17.08
2014,9,18.56,22.73,14.77
2014,10,15.51,19.59,12.02
2014,11,11.67,14.92,8.89
2014,12,6.68,9.75,4.01
2015,1,5.25,8.99,1.95
2015,2,4.87,8.27,1.73
2015,3,8.38,12.03,4.89
2015,4,11.66,16.02,7.23
2015,5,16.59,20.81,12.14
2015,6,20.37,24.72,15.78
2015,7,25.03,29.72,20.18
2015,8,22.89,27.4,18.51
2015,9,18.76,22.84,14.95
2015,10,13.94,17.38,10.85
2015,11,10.18,14.39,6.74
2015,12,6.68,10.93,3.42
2016,1,5.49,9.04,2.23
2016,2,7.83,11.1,4.68
2016,3,8.15,11.93,4.43
2016,4,12.99,17.21,8.79
2016,5,15.07,18.98,10.99
2016,6,19.61,23.61,15.4
2016,7,23,27.48,18.27
2016,8,21.91,26.44,17.45
2016,9,19.04,23.54,15.06
2016,10,13.8,17.61,10.44
2016,11,9.7,12.97,6.73
2016,12,5.74,10.11,2.4
2017,1,2.28,6.1,-1.11
2017,2,7.1,10.68,3.86
2017,3,10.06,14.66,5.74
2017,4,11.88,16.37,7.33
2017,5,16.44,20.84,11.73
2017,6,21.95,26.5,17.02
2017,7,23.27,27.96,18.28
2017,8,24.14,29.24,19.02
2017,9,17.34,21.57,13.39
2017,10,14.28,19.2,10.04
2017,11,8.58,12.29,5.29
2017,12,4.49,8.26,1.17
2018,1,6.66,10.1,3.6
2018,2,3.74,6.8,0.69
2018,3,7.42,10.69,4.19
2018,4,13.81,18.22,9.48
2018,5,16.61,20.39,12.87
2018,6,20.31,24.41,15.97
2018,7,23.19,27.67,18.58
2018,8,22.77,27.42,18.55
2018,9,19.56,24.21,15.4
2018,10,15.32,19.22,11.95
2018,11,10.37,13.35,7.8
2018,12,5.83,9.51,2.63
2019,1,3.12,6.82,-0.19
2019,2,6.31,11.16,2.17
2019,3,9.37,14.04,4.91
2019,4,11.32,15.13,7.5
2019,5,13,16.51,9.35
2019,6,22.22,26.91,17.04
2019,7,23.43,27.98,18.73
2019,8,23.47,28.11,19.02
2019,9,19.23,23.68,15.23
2019,10,15.59,19.75,11.98
2019,11,10.29,12.97,7.63
2019,12,7.17,10.42,4.27
2020,1,5.41,9.72,1.88
2020,2,7.78,12.24,3.61
2020,3,8.18,12.13,4.27
2020,4,12.05,16.77,7.21
2020,5,16.57,20.75,12.09
2020,6,19.15,23.21,14.73
2020,7,22.68,27.22,17.81
2020,8,23.37,27.93,18.88
2020,9,19.45,23.89,15.39
2020,10,13.19,17.14,9.48
2020,11,10.21,14.13,6.94
2020,12,6.25,9.12,3.57
2021,1,4.21,7.31,1.25
2021,2,7.23,11.19,3.67
2021,3,7.68,12.12,3.34
2021,4,10.06,14.06,5.82
2021,5,15,19.13,10.51
2021,6,21.52,26.12,16.56
2021,7,23.27,27.77,18.47
2021,8,23.09,27.83,18.4
2021,9,19.76,24.33,15.56
2021,10,13.42,17.44,9.89
2021,11,10.05,13.01,7.37
2021,12,5.65,9.1,2.57
2022,1,4.74,8.85,1.41
2022,2,6.67,11.14,2.61
2022,3,7.1,11.53,2.84
2022,4,11.04,15.3,6.52
2022,5,17.6,22.04,12.91
2022,6,23.04,27.76,17.88
2022,7,24.88,29.76,19.67
2022,8,23.44,28.09,18.91
2022,9,19.1,23.32,15.13
2022,10,16.41,21.09,12.51
2022,11,10.49,14.12,7.24
2022,12,7.75,10.88,5.02
2023,1,5.78,9.06,2.88
2023,2,5.96,10.46,2.18
2023,3,9.63,13.79,5.53
2023,4,10.87,14.97,6.63
2023,5,15.46,19.07,11.91
2023,6,20.52,24.68,16.15
2023,7,24.49,29.15,19.49
2023,8,23.15,27.89,18.4
2023,9,20.68,25.41,16.39
2023,10,17.56,21.93,13.67
2023,11,10.28,13.93,6.94
2023,12,7.32,10.82,4.57
